,item_id,labels,en,es-CO,de,context,translation_time
223,hostile-attribution-scene1-q1,hostile-attribution,Do you think that the boy bumped you on purpose or by accident?,¿Crees que el chico te golpeó a propósito o por accidente?,"Glaubst du, dass der Junge dich absichtlich oder aus Versehen angerempelt hat?","hostile-attribution-scene1-q1

Sheet: translation-items-v1",
224,hostile-attribution-scene1-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Elige una de las tres opciones que tú harías:,"Wähle nun eine der drei Möglichkeiten aus, die du tun würdest:","hostile-attribution-scene1-q2

Sheet: translation-items-v1",
225,hostile-attribution-scene1-q2-ans1,hostile-attribution,clean up my shoes,limpiar mis zapatos,meine Schuhe sauber machen,"hostile-attribution-scene1-q2-ans1

Sheet: translation-items-v1",
226,hostile-attribution-scene1-q2-ans2,hostile-attribution,walk away from the boy,alejarme del chico,sich von dem Jungen entfernen,"hostile-attribution-scene1-q2-ans2

Sheet: translation-items-v1",
227,hostile-attribution-scene1-q2-ans3,hostile-attribution,push the boy in the mud,empujar al chico al barro,den Jungen in den Schlamm stoßen,"hostile-attribution-scene1-q2-ans3

Sheet: translation-items-v1",
228,hostile-attribution-scene2-instruct1,hostile-attribution,"Imagine that you are on the playground. You and some other kids are having a race. A boy is standing on the side, bouncing a basketball.","Imagina que estás en el patio de recreo. Tú y otros niños están haciendo una carrera. Un niño está parado a un lado, haciendo rebotar una pelota de baloncesto.","Stell dir vor, du bist auf einem Spielplatz. Du und einige andere Kinder liefern sich ein Rennen. Ein Junge steht am Rand und wirft einen Basketball.","hostile-attribution-scene2-instruct1

Sheet: translation-items-v1",
229,hostile-attribution-scene2-instruct2,hostile-attribution,"The next thing you know is that the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race.","De repente, el chico hace rebotar la pelota y rueda bajo tus pies, haciéndote caer. Te raspas la rodilla, y alguien más gana la carrera.","Das nächste ist, dass der Junge den Ball abprallen lässt und er unter deine Füße rollt, so dass du fällst. Du schürfst dir das Knie auf und ein anderer gewinnt das Rennen.","hostile-attribution-scene2-instruct2

Sheet: translation-items-v1",
230,hostile-attribution-scene2-q1,hostile-attribution,Do you think that the boy made you fall on purpose or by accident?,¿Crees que el chico te hizo caer a propósito o por accidente?,"Glaubst du, dass der Junge dich mit Absicht oder aus Versehen zu Boden gestoßen hat?","hostile-attribution-scene2-q1

Sheet: translation-items-v1",
231,hostile-attribution-scene2-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Elige una de las tres opciones que tú harías:,"Wähle nun eine der drei Möglichkeiten aus, die du tun würdest:","hostile-attribution-scene2-q2

Sheet: translation-items-v1",
232,hostile-attribution-scene2-q2-ans1,hostile-attribution,go to another area of the playground,ir a otra zona del patio de recreo,in einen anderen Bereich des Spielplatzes gehen,"hostile-attribution-scene2-q2-ans1

Sheet: translation-items-v1",
233,hostile-attribution-scene2-q2-ans2,hostile-attribution,say something mean to him,insultar al niño,etwas Gemeines zu ihm sagen,"hostile-attribution-scene2-q2-ans2

Sheet: translation-items-v1",
234,hostile-attribution-scene2-q2-ans3,hostile-attribution,take care of my knee,curar mi rodilla,mich um mein Knie kümmern,"hostile-attribution-scene2-q2-ans3

Sheet: translation-items-v1",
235,hostile-attribution-scene3-instruct1,hostile-attribution,Imagine that you are working on an assignment at your desk. ,Imagina que estás trabajando en una tarea en tu escritorio.,"Stell dir vor, du arbeitest an deinem Schreibtisch an einer Aufgabe. ","hostile-attribution-scene3-instruct1

Sheet: translation-items-v1",
236,hostile-attribution-scene3-instruct2,hostile-attribution,"You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there. ","Te levantas para sacarle punta a tu lápiz y, de regreso a tu escritorio, vas detrás de un niño que camina justo delante de ti. El niño pasa por tu escritorio antes de que tú llegues.","Du gehst deinen Bleistift anspitzen, und als du zu deinem Schreibtisch zurückgehst, läuft ein Junge direkt vor dir. Der Junge geht an deinem Schreibtisch vorbei, bevor du ihn erreichst. ","hostile-attribution-scene3-instruct2

Sheet: translation-items-v1",
237,hostile-attribution-scene3-instruct3,hostile-attribution,"The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor.","De repente, el chico tira todos los papeles que estaban en tu escritorio y ahora están regados en el suelo.","Das nächste ist, dass der Junge alle deine Papiere von deinem Schreibtisch geworfen hat und sie überall auf dem Boden liegen.","hostile-attribution-scene3-instruct3

Sheet: translation-items-v1",
238,hostile-attribution-scene3-q1,hostile-attribution,Do you think the boy knocked your papers onto the floor on purpose or by accident?,¿Crees que el chico tiró tus papeles al suelo a propósito o por accidente?,"Glaubst du, der Junge hat deine Papiere absichtlich oder aus Versehen auf den Boden geworfen?","hostile-attribution-scene3-q1

Sheet: translation-items-v1",
239,hostile-attribution-scene3-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Elige una de las tres opciones que tú harías:,"Wähle nun eine der drei Möglichkeiten aus, die du tun würdest:","hostile-attribution-scene3-q2

Sheet: translation-items-v1",
240,hostile-attribution-scene3-q2-ans1,hostile-attribution,call him a name,insultar al niño,ihn beleidigen,"hostile-attribution-scene3-q2-ans1

Sheet: translation-items-v1",
241,hostile-attribution-scene3-q2-ans2,hostile-attribution,pick up the papers,recoger los papeles,die Papiere aufsammeln,"hostile-attribution-scene3-q2-ans2

Sheet: translation-items-v1",
242,hostile-attribution-scene3-q2-ans3,hostile-attribution,do nothing,no hacer nada,nichts tun,"hostile-attribution-scene3-q2-ans3

Sheet: translation-items-v1",
243,same-different-selection-touch-circle,same-different-selection,Choose the picture with a circle.,Escoge la imagen con un círculo.,Berühre das Bild mit einem Kreis.,"same-different-selection-touch-circle

Sheet: translation-items-v1",
244,same-different-selection-touch-square,same-different-selection,Choose the picture with a square.,Escoge la imagen con un cuadrado.,Berühre das Bild mit einem Quadrat.,"same-different-selection-touch-square

Sheet: translation-items-v1",
245,same-different-selection-touch-triangle,same-different-selection,Choose the picture with a triangle.,Escoge la imagen con un triángulo.,Berühre das Bild mit einem Dreieck.,"same-different-selection-touch-triangle

Sheet: translation-items-v1",
246,same-different-selection-touch-green,same-different-selection,Choose the picture with a green shape.,Escoge la imagen con una figura verde.,Berühre das Bild mit einer grünen Form.,"same-different-selection-touch-green

Sheet: translation-items-v1",
247,same-different-selection-touch-red,same-different-selection,Choose the picture with a red shape.,Escoge la imagen con una figura roja.,Berühre das Bild mit einer roten Form.,"same-different-selection-touch-red

Sheet: translation-items-v1",
248,same-different-selection-touch-blue,same-different-selection,Choose the picture with a blue shape.,Escoge la imagen con una figura azul.,Berühre das Bild mit einer blauen Form.,"same-different-selection-touch-blue

Sheet: translation-items-v1",
249,same-different-selection-touch-small,same-different-selection,Choose the picture with a small shape.,Escoge la imagen con una figura pequeña.,Berühre das Bild mit einer kleinen Form.,"same-different-selection-touch-small

Sheet: translation-items-v1",
250,same-different-selection-touch-medium,same-different-selection,Choose the picture with a medium-sized shape.,Escoge la imagen con una figura mediana.,Berühre das Bild mit einer mittelgroßen Form.,"same-different-selection-touch-medium

Sheet: translation-items-v1",
251,same-different-selection-touch-large,same-different-selection,Choose the picture with a large shape.,Escoge la imagen con una figura grande.,Berühre das Bild mit einer großen Form.,"same-different-selection-touch-large

Sheet: translation-items-v1",
252,same-different-selection-both-circles,same-different-selection,Here are two shapes. Something's the same. They are both circles.,Aquí hay dos figuras. Tienen algo en común. Ambas son círculos.,Hier sind zwei Formen. Etwas ist gleich. Beide sind Kreise.,"same-different-selection-both-circles

Sheet: translation-items-v1",
253,same-different-selection-both-squares,same-different-selection,Here are two shapes. Something's the same. They are both squares.,Aquí hay dos figuras. Tienen algo en común. Ambas son cuadrados.,Hier sind zwei Formen. Etwas ist gleich. Beide sind Quadrate.,"same-different-selection-both-squares

Sheet: translation-items-v1",
254,same-different-selection-both-triangles,same-different-selection,Here are two shapes. Something's the same. They are both triangles.,Aquí hay dos figuras. Tienen algo en común. Ambas son triángulos.,Hier sind zwei Formen. Etwas ist gleich. Beide sind Dreiecke.,"same-different-selection-both-triangles

Sheet: translation-items-v1",
255,same-different-selection-both-red,same-different-selection,Here are two shapes. Something's the same. They are both red.,Aquí hay dos figuras. Tienen algo en común. Ambas son rojas.,Hier sind zwei Formen. Etwas ist gleich. Beide sind rot.,"same-different-selection-both-red

Sheet: translation-items-v1",
256,same-different-selection-both-green,same-different-selection,Here are two shapes. Something's the same. They are both green.,Aquí hay dos figuras. Tienen algo en común. Ambas son verdes.,Hier sind zwei Formen. Etwas ist gleich. Beide sind grün.,"same-different-selection-both-green

Sheet: translation-items-v1",
257,same-different-selection-both-blue,same-different-selection,Here are two shapes. Something's the same. They are both blue.,Aquí hay dos figuras. Tienen algo en común. Ambas son azules.,Hier sind zwei Formen. Etwas ist gleich. Beide sind blau.,"same-different-selection-both-blue

Sheet: translation-items-v1",
258,same-different-selection-both-small,same-different-selection,Here are two shapes. Something's the same. They are both small.,Aquí hay dos figuras. Tienen algo en común. Ambas son pequeñas.,Hier sind zwei Formen. Etwas ist gleich. Beide sind klein.,"same-different-selection-both-small

Sheet: translation-items-v1",
259,same-different-selection-both-medium,same-different-selection,Here are two shapes. Something's the same. They are both medium-sized.,Aquí hay dos figuras. Tienen algo en común. Ambas son de tamaño mediano.,Hier sind zwei Formen. Etwas ist gleich. Beide sind mittelgroß.,"same-different-selection-both-medium

Sheet: translation-items-v1",
260,same-different-selection-both-large,same-different-selection,Here are two pictures. Something's the same. They are both large.,Aquí hay dos figuras. Tienen algo en común. Ambas son grandes.,Hier sind zwei Formen. Etwas ist gleich. Beide sind groß.,"same-different-selection-both-large

Sheet: translation-items-v1",
261,sds-prompt3,same-different-selection,Here is another picture. Which of these is the same as this one?,Aquí hay otra figura. ¿Cuál de las anteriores tiene algo en común con esta nueva figura?,Hier ist eine weitere Form. Welche davon ist dieselbe wie diese?,"sds-prompt3

Sheet: translation-items-v1",
262,sds-2match-prompt1,same-different-selection,Choose two pictures that are the same.,Escoge dos imágenes que tengan algo en común.,"Wähle zwei Bilder aus, die gleich sind.","sds-2match-prompt1

Sheet: translation-items-v1",
263,sds-2match-prompt2,same-different-selection,Choose two pictures that are the same in a different way.,"Escoge dos imágenes que tengan algo en común, pero con algo diferente.","Wähle zwei Bilder, die gleich sind, aber Unterschiede aufweisen.","sds-2match-prompt2

Sheet: translation-items-v1",
264,sds-3match-prompt1,same-different-selection,Choose three pictures that are the same.,Escoge tres imágenes que tengan algo en común.,Choose three pictures that are the same.,"sds-3match-prompt1

Sheet: translation-items-v1",
265,sds-3match-prompt2,same-different-selection,Choose three pictures that are the same in a different way.,"Escoge tres imágenes que tengan algo en común, pero con algo diferente.",Choose three pictures that are the same in a different way.,"sds-3match-prompt2

Sheet: translation-items-v1",
266,sds-3unique-prompt1,same-different-selection,Choose three pictures that are the same in only one way.,Escoge tres imágenes que sean iguales en una sola característica.,"Berühre drei Bilder, die nur in einer Hinsicht gleich sind.","sds-3unique-prompt1

Sheet: translation-items-v1",
267,sds-3unique-prompt2,same-different-selection,Choose another three pictures that are the same in only one way.,Escoge otras tres imágenes que sean iguales en una sola característica.,"Berühre drei weitere Bilder, die nur in einer Hinsicht gleich sind.","sds-3unique-prompt2

Sheet: translation-items-v1",
268,memory-game-instruct1,memory-game,This is the memory game. Here's how you play it.,Este es el juego de la memoria. Las reglas son las siguientes.,This is the memory game. Here's how you play it.,"memory-game-instruct1

Sheet: translation-items-v1",
269,memory-game-instruct2,memory-game,You will see squares light up.,Verás que los cuadrados se iluminan.,You will see squares light up.,"memory-game-instruct2

Sheet: translation-items-v1",
270,memory-game-instruct3,memory-game,You're going to touch the squares in the same order.,Vas a tocar los cuadrados en el mismo orden.,You're going to touch the squares in the same order.,"memory-game-instruct3

Sheet: translation-items-v1",
271,memory-game-instruct4,memory-game,Watch carefully! Try to remember the order.,¡Observa con atención! Intenta recordar el orden.,Watch carefully! Try to remember the order.,"memory-game-instruct4

Sheet: translation-items-v1",
272,memory-game-prompt1,memory-game,Time to watch!,¡Es hora de observar!,Time to watch!,"memory-game-prompt1

Sheet: translation-items-v1",
273,memory-game-forward-prompt,memory-game,Choose the squares in the same order.,Escoge los cuadrados en el mismo orden.,Choose the squares in the same order.,"memory-game-forward-prompt

Sheet: translation-items-v1",
274,memory-game-instruct5,memory-game,This time the game won't tell you if you're right or wrong.,Esta vez el juego no te dirá si la respuesta es correcta o no.,This time the game won't tell you if you're right or wrong.,"memory-game-instruct5

Sheet: translation-items-v1",
275,memory-game-instruct6,memory-game,"If you make a mistake, just keep going!","Si cometes un error, ¡sigue adelante!","If you make a mistake, just keep going!","memory-game-instruct6

Sheet: translation-items-v1",
276,memory-game-instruct7,memory-game,Let’s start playing the memory game!,¡Empecemos a jugar al juego de memoria!,Let’s start playing the memory game!,"memory-game-instruct7

Sheet: translation-items-v1",
277,memory-game-backward-prompt,memory-game,Choose the squares in the backward order.,Escoge los cuadrados siguiendo el orden inverso a la secuencia.,Choose the squares in the backward order.,"memory-game-backward-prompt

Sheet: translation-items-v1",
278,heart-instruct1,hearts-and-flowers,This is the heart game. Here's how you play it.,Este es el juego del corazón. Las reglas son las siguientes.,This is the heart game. Here's how you play it.,"heart-instruct1

Sheet: translation-items-v1",
279,heart-instruct2,hearts-and-flowers,"When you see a <b>heart</b>, press the button on the <b>same</b> side.","Cuando veas un <b>corazón</b>, presiona el botón del <b>mismo</b> lado.","When you see a <b>heart</b>, press the button on the <b>same</b> side.","heart-instruct2

Sheet: translation-items-v1",
280,hearts-and-flowers-try-again,hearts-and-flowers,That's not right. Try again.,Eso no está bien. Inténtalo de nuevo.,That's not right. Try again.,"hearts-and-flowers-try-again

Sheet: translation-items-v1",
281,heart-practice-feedback1,hearts-and-flowers,The heart is on the right side. Press the right button.,El corazón está en el lado derecho. Presiona el botón derecho.,The heart is on the right side. Press the right button.,"heart-practice-feedback1

Sheet: translation-items-v1",
282,hearts-and-flowers-practice-time,hearts-and-flowers,Time to practice!,¡Es hora de practicar!,Time to practice!,"hearts-and-flowers-practice-time

Sheet: translation-items-v1",
283,heart-practice-feedback2,hearts-and-flowers,"Remember! When you see a HEART, press the button on the SAME side.","¡Recuerda! Cuando veas un CORAZÓN, presiona el botón del MISMO lado.","Remember! When you see a HEART, press the button on the SAME side.","heart-practice-feedback2

Sheet: translation-items-v1",
284,hearts-and-flowers-instruct1,hearts-and-flowers,This time the game will go faster. It won't tell you if you are right or wrong.,Esta vez el juego irá más rápido. No te dirá si la respuesta es correcta o no.,This time the game will go faster. It won't tell you if you are right or wrong.,"hearts-and-flowers-instruct1

Sheet: translation-items-v1",
285,hearts-and-flowers-instruct2,hearts-and-flowers,Try to answer as fast as you can without making mistakes.,Intenta responder lo más rápido que puedas sin cometer errores.,Try to answer as fast as you can without making mistakes.,"hearts-and-flowers-instruct2

Sheet: translation-items-v1",
286,hearts-and-flowers-play-time,hearts-and-flowers,Time to play!,¡Hora de jugar!,Time to play!,"hearts-and-flowers-play-time

Sheet: translation-items-v1",
287,flower-instruct1,hearts-and-flowers,This is the flower game. Here's how you play.,Este es el juego de las flores. Las reglas son las siguientes.,This is the flower game. Here's how you play.,"flower-instruct1

Sheet: translation-items-v1",
288,flower-instruct2,hearts-and-flowers,"When you see a flower, press the button on the opposite side.","Cuando veas una flor, presiona el botón del lado opuesto.","When you see a flower, press the button on the opposite side.","flower-instruct2

Sheet: translation-items-v1",
289,flower-practice-feedback1,hearts-and-flowers,The flower is on the left side. Press the right button.,La flor está en el lado izquierdo. Presione el botón derecho.,The flower is on the left side. Press the right button.,"flower-practice-feedback1

Sheet: translation-items-v1",
290,flower-practice-feedback2,hearts-and-flowers,"When you see a FLOWER, press the button on the OPPOSITE side.","Cuando veas una FLOR, presiona el botón en el lado OPUESTO.","When you see a FLOWER, press the button on the OPPOSITE side.","flower-practice-feedback2

Sheet: translation-items-v1",
291,hearts-and-flowers-instruct3,hearts-and-flowers,"Now, we're going to play a game with hearts and flowers.","Ahora, vamos a jugar un juego con corazones y flores.","Now, we're going to play a game with hearts and flowers.","hearts-and-flowers-instruct3

Sheet: translation-items-v1",
292,continue-button-text,general,OK,OK,OK,"continue-button-text

Sheet: translation-items-v1",
293,close-button-text,general,Close,Cerrar,Close,"close-button-text

Sheet: translation-items-v1",
294,hearts-and-flowers-encourage1,hearts-and-flowers,Try to keep up!,¡Trata de seguir el ritmo!,Try to keep up!,"hearts-and-flowers-encourage1

Sheet: translation-items-v1",
295,hearts-and-flowers-encourage2,hearts-and-flowers,"If you make a mistake, just keep going!","Si cometes un error, ¡sigue adelante!","If you make a mistake, just keep going!","hearts-and-flowers-encourage2

Sheet: translation-items-v1",
296,hearts-and-flowers-end,hearts-and-flowers,Great job! You completed the game!.,"¡Bien hecho, has terminado el juego!",Great job! You completed the game!.,"hearts-and-flowers-end

Sheet: translation-items-v1",
297,vocab-item-001,vocab,acorn,bellota,acorn,"vocab-item-001

Sheet: translation-items-v1",
298,vocab-item-002,vocab,aloe,aloe,aloe,"vocab-item-002

Sheet: translation-items-v1",
299,vocab-item-003,vocab,antenna,antena,antenna,"vocab-item-003

Sheet: translation-items-v1",
300,vocab-item-004,vocab,artichoke,alcachofa,artichoke,"vocab-item-004

Sheet: translation-items-v1",
301,vocab-item-005,vocab,bamboo,bambú,bamboo,"vocab-item-005

Sheet: translation-items-v1",
302,vocab-item-006,vocab,barrel,barril,barrel,"vocab-item-006

Sheet: translation-items-v1",
303,vocab-item-007,vocab,blender,licuadora,blender,"vocab-item-007

Sheet: translation-items-v1",
304,vocab-item-008,vocab,blower,soplador,blower,"vocab-item-008

Sheet: translation-items-v1",
305,vocab-item-009,vocab,bouquet,ramo,bouquet,"vocab-item-009

Sheet: translation-items-v1",
306,vocab-item-010,vocab,buffet,bufé,buffet,"vocab-item-010

Sheet: translation-items-v1",
307,vocab-item-011,vocab,bulldozer,excavadora,bulldozer,"vocab-item-011

Sheet: translation-items-v1",
308,vocab-item-012,vocab,cake,pastel,cake,"vocab-item-012

Sheet: translation-items-v1",
309,vocab-item-013,vocab,caramel,caramelo,caramel,"vocab-item-013

Sheet: translation-items-v1",
310,vocab-item-014,vocab,carousel,carrusel,carousel,"vocab-item-014

Sheet: translation-items-v1",
311,vocab-item-015,vocab,carrot,zanahoria,carrot,"vocab-item-015

Sheet: translation-items-v1",
312,vocab-item-016,vocab,cassette,casete,cassette,"vocab-item-016

Sheet: translation-items-v1",
313,vocab-item-017,vocab,cheese,queso,cheese,"vocab-item-017

Sheet: translation-items-v1",
314,vocab-item-018,vocab,cloak,capucha,cloak,"vocab-item-018

Sheet: translation-items-v1",
315,vocab-item-019,vocab,clothespin,pinza para la ropa,clothespin,"vocab-item-019

Sheet: translation-items-v1",
316,vocab-item-020,vocab,coaster,portavasos,coaster,"vocab-item-020

Sheet: translation-items-v1",
317,vocab-item-021,vocab,cork,corcho,cork,"vocab-item-021

Sheet: translation-items-v1",
318,vocab-item-022,vocab,cornbread,pan de maíz,cornbread,"vocab-item-022

Sheet: translation-items-v1",
319,vocab-item-023,vocab,corset,corsé,corset,"vocab-item-023

Sheet: translation-items-v1",
320,vocab-item-024,vocab,dumpling,dumpling,dumpling,"vocab-item-024

Sheet: translation-items-v1",
321,vocab-item-025,vocab,elbow,codo,elbow,"vocab-item-025

Sheet: translation-items-v1",
322,vocab-item-026,vocab,fan,ventilador,fan,"vocab-item-026

Sheet: translation-items-v1",
323,vocab-item-027,vocab,foam,espuma,foam,"vocab-item-027

Sheet: translation-items-v1",
324,vocab-item-028,vocab,footbath,lavapiés,footbath,"vocab-item-028

Sheet: translation-items-v1",
325,vocab-item-029,vocab,fruitcake,pastel de frutas,fruitcake,"vocab-item-029

Sheet: translation-items-v1",
326,vocab-item-030,vocab,gutter,canaleta,gutter,"vocab-item-030

Sheet: translation-items-v1",
327,vocab-item-031,vocab,hamster,hámster,hamster,"vocab-item-031

Sheet: translation-items-v1",
328,vocab-item-032,vocab,hedgehog,erizo,hedgehog,"vocab-item-032

Sheet: translation-items-v1",
329,vocab-item-033,vocab,hoe,azadilla,hoe,"vocab-item-033

Sheet: translation-items-v1",
330,vocab-item-034,vocab,hopscotch,golosa,hopscotch,"vocab-item-034

Sheet: translation-items-v1",
331,vocab-item-035,vocab,kimono,kimono,kimono,"vocab-item-035

Sheet: translation-items-v1",
332,vocab-item-036,vocab,latch,cerrojo,latch,"vocab-item-036

Sheet: translation-items-v1",
333,vocab-item-037,vocab,locker,casillero,locker,"vocab-item-037

Sheet: translation-items-v1",
334,vocab-item-038,vocab,lollipop,chupeta,lollipop,"vocab-item-038

Sheet: translation-items-v1",
335,vocab-item-039,vocab,map,mapa,map,"vocab-item-039

Sheet: translation-items-v1",
336,vocab-item-040,vocab,marshmallow,malvavisco,marshmallow,"vocab-item-040

Sheet: translation-items-v1",
337,vocab-item-041,vocab,net,malla,net,"vocab-item-041

Sheet: translation-items-v1",
338,vocab-item-042,vocab,oil,aceite,oil,"vocab-item-042

Sheet: translation-items-v1",
339,vocab-item-043,vocab,omelet,tortilla,omelet,"vocab-item-043

Sheet: translation-items-v1",
340,vocab-item-044,vocab,pie,tarta,pie,"vocab-item-044

Sheet: translation-items-v1",
341,vocab-item-045,vocab,pistachio,pistacho,pistachio,"vocab-item-045

Sheet: translation-items-v1",
342,vocab-item-046,vocab,pitcher,jarra,pitcher,"vocab-item-046

Sheet: translation-items-v1",
343,vocab-item-047,vocab,potato,papa,potato,"vocab-item-047

Sheet: translation-items-v1",
344,vocab-item-048,vocab,prism,prisma,prism,"vocab-item-048

Sheet: translation-items-v1",
345,vocab-item-049,vocab,puddle,charco,puddle,"vocab-item-049

Sheet: translation-items-v1",
346,vocab-item-050,vocab,pump,bomba de agua,pump,"vocab-item-050

Sheet: translation-items-v1",
347,vocab-item-051,vocab,rice,arroz,rice,"vocab-item-051

Sheet: translation-items-v1",
348,vocab-item-052,vocab,saddle,silla de montar,saddle,"vocab-item-052

Sheet: translation-items-v1",
349,vocab-item-053,vocab,sandbag,saco de arena,sandbag,"vocab-item-053

Sheet: translation-items-v1",
350,vocab-item-054,vocab,scaffolding,andamio,scaffolding,"vocab-item-054

Sheet: translation-items-v1",
351,vocab-item-055,vocab,scoop,cucharón,scoop,"vocab-item-055

Sheet: translation-items-v1",
352,vocab-item-056,vocab,seagull,gaviota,seagull,"vocab-item-056

Sheet: translation-items-v1",
353,vocab-item-057,vocab,ship,barco,ship,"vocab-item-057

Sheet: translation-items-v1",
354,vocab-item-058,vocab,shower,ducha,shower,"vocab-item-058

Sheet: translation-items-v1",
355,vocab-item-059,vocab,silverware,cubiertos,silverware,"vocab-item-059

Sheet: translation-items-v1",
356,vocab-item-060,vocab,sink,lavabo,sink,"vocab-item-060

Sheet: translation-items-v1",
357,vocab-item-061,vocab,ski,esquí,ski,"vocab-item-061

Sheet: translation-items-v1",
358,vocab-item-062,vocab,sloth,oso perozoso,sloth,"vocab-item-062

Sheet: translation-items-v1",
359,vocab-item-063,vocab,snail,caracol,snail,"vocab-item-063

Sheet: translation-items-v1",
360,vocab-item-064,vocab,sorbet,sorbete,sorbet,"vocab-item-064

Sheet: translation-items-v1",
361,vocab-item-065,vocab,spatula,espátula,spatula,"vocab-item-065

Sheet: translation-items-v1",
362,vocab-item-066,vocab,sprinkler,aspersor,sprinkler,"vocab-item-066

Sheet: translation-items-v1",
363,vocab-item-067,vocab,squash,calabaza,squash,"vocab-item-067

Sheet: translation-items-v1",
364,vocab-item-068,vocab,squirrel,ardilla,squirrel,"vocab-item-068

Sheet: translation-items-v1",
365,vocab-item-069,vocab,stew,guiso,stew,"vocab-item-069

Sheet: translation-items-v1",
366,vocab-item-070,vocab,stretcher,camilla,stretcher,"vocab-item-070

Sheet: translation-items-v1",
367,vocab-item-071,vocab,stump,tocón,stump,"vocab-item-071

Sheet: translation-items-v1",
368,vocab-item-072,vocab,sunflower,girasol,sunflower,"vocab-item-072

Sheet: translation-items-v1",
369,vocab-item-073,vocab,swordfish,pez espada,swordfish,"vocab-item-073

Sheet: translation-items-v1",
370,vocab-item-074,vocab,tapestry,tapiz,tapestry,"vocab-item-074

Sheet: translation-items-v1",
371,vocab-item-075,vocab,teabag,bolsa de té,teabag,"vocab-item-075

Sheet: translation-items-v1",
372,vocab-item-076,vocab,telescope,telescopio,telescope,"vocab-item-076

Sheet: translation-items-v1",
373,vocab-item-077,vocab,thermos,termo,thermos,"vocab-item-077

Sheet: translation-items-v1",
374,vocab-item-078,vocab,treasure,tesoro,treasure,"vocab-item-078

Sheet: translation-items-v1",
375,vocab-item-079,vocab,trumpet,trompeta,trumpet,"vocab-item-079

Sheet: translation-items-v1",
376,vocab-item-080,vocab,tulip,tulipán,tulip,"vocab-item-080

Sheet: translation-items-v1",
377,vocab-item-081,vocab,turbine,turbina,turbine,"vocab-item-081

Sheet: translation-items-v1",
378,vocab-item-082,vocab,turkey,pavo,turkey,"vocab-item-082

Sheet: translation-items-v1",
379,vocab-item-083,vocab,turtle,tortuga,turtle,"vocab-item-083

Sheet: translation-items-v1",
380,vocab-item-084,vocab,typewriter,máquina de escribir,typewriter,"vocab-item-084

Sheet: translation-items-v1",
381,vocab-item-085,vocab,watermelon,sandía,watermelon,"vocab-item-085

Sheet: translation-items-v1",
382,vocab-item-086,vocab,waterwheel,rueda hidráulica,waterwheel,"vocab-item-086

Sheet: translation-items-v1",
383,vocab-item-087,vocab,ant,hormiga,ant,"vocab-item-087

Sheet: translation-items-v1",
384,vocab-item-088,vocab,ball,pelota,ball,"vocab-item-088

Sheet: translation-items-v1",
385,vocab-item-089,vocab,bear,oso,bear,"vocab-item-089

Sheet: translation-items-v1",
386,vocab-item-090,vocab,duck,pato,duck,"vocab-item-090

Sheet: translation-items-v1",
387,vocab-item-091,vocab,fork,tenedor,fork,"vocab-item-091

Sheet: translation-items-v1",
388,vocab-item-092,vocab,kitten,gatito,kitten,"vocab-item-092

Sheet: translation-items-v1",
389,vocab-item-093,vocab,knee,rodilla,knee,"vocab-item-093

Sheet: translation-items-v1",
390,vocab-item-094,vocab,milkshake,malteada,milkshake,"vocab-item-094

Sheet: translation-items-v1",
391,vocab-item-095,vocab,skin,piel,skin,"vocab-item-095

Sheet: translation-items-v1",
392,vocab-item-096,vocab,wall,muro,wall,"vocab-item-096

Sheet: translation-items-v1",
393,vocab-item-097,vocab,wheel,rueda,wheel,"vocab-item-097

Sheet: translation-items-v1",
394,vocab-item-098,vocab,farm,granja,farm,"vocab-item-098

Sheet: translation-items-v1",
395,vocab-item-099,vocab,juggling,malabarismo,juggling,"vocab-item-099

Sheet: translation-items-v1",
396,vocab-item-100,vocab,dressing,aderezo,dressing,"vocab-item-100

Sheet: translation-items-v1",
397,vocab-item-101,vocab,roof,techo,roof,"vocab-item-101

Sheet: translation-items-v1",
398,vocab-item-102,vocab,peeking,espiando,peeking,"vocab-item-102

Sheet: translation-items-v1",
399,vocab-item-103,vocab,ruler,regla,ruler,"vocab-item-103

Sheet: translation-items-v1",
400,vocab-item-104,vocab,tunnel,túnel,tunnel,"vocab-item-104

Sheet: translation-items-v1",
401,vocab-item-105,vocab,envelope,sobre,envelope,"vocab-item-105

Sheet: translation-items-v1",
402,vocab-item-106,vocab,diamond,diamante,diamond,"vocab-item-106

Sheet: translation-items-v1",
403,vocab-item-107,vocab,calendar,calendario,calendar,"vocab-item-107

Sheet: translation-items-v1",
404,vocab-item-108,vocab,panda,panda,panda,"vocab-item-108

Sheet: translation-items-v1",
405,vocab-item-109,vocab,arrow,flecha,arrow,"vocab-item-109

Sheet: translation-items-v1",
406,vocab-item-110,vocab,picking,cosecha,picking,"vocab-item-110

Sheet: translation-items-v1",
407,vocab-item-111,vocab,dripping,goteo,dripping,"vocab-item-111

Sheet: translation-items-v1",
