identifier,labels,text,es-CO,de,context
trog-item-97,trog,"The kids cleaned the room, but forgot to put away the train.","Los niños limpiaron la habitación, pero se olvidaron de guardar el tren.","The kids cleaned the room, but forgot to put away the train.","trog-item-97

Sheet: translation-items-v1"
trog-item-98,trog,The monkey neither ate the spotted banana nor swung on the vine.,El mono no se comió el plátano manchado ni se columpió en la liana.,The monkey neither ate the spotted banana nor swung on the vine.,"trog-item-98

Sheet: translation-items-v1"
trog-item-99,trog,"Her mom said it would be sunny. However, it rained heavily.","Su madre dijo que haría sol. Sin embargo, llovió a cántaros.","Her mom said it would be sunny. However, it rained heavily.","trog-item-99

Sheet: translation-items-v1"
trog-item-100,trog,The plane that is gray is above the clouds.,El avión que es gris está por encima de las nubes.,The plane that is gray is above the clouds.,"trog-item-100

Sheet: translation-items-v1"
trog-item-101,trog,The fish swim beneath a whale and a sea turtle.,Los peces nadan bajo una ballena y una tortuga marina.,The fish swim beneath a whale and a sea turtle.,"trog-item-101

Sheet: translation-items-v1"
trog-item-102,trog,The car that the truck followed is driving toward the tunnel.,El coche que siguió el camión va hacia el túnel.,The car that the truck followed is driving toward the tunnel.,"trog-item-102

Sheet: translation-items-v1"
trog-item-103,trog,Instead of doing homework she did a puzzle in her room.,"En vez de hacer los deberes, hizo un puzzle en su habitación.",Instead of doing homework she did a puzzle in her room.,"trog-item-103

Sheet: translation-items-v1"
ToM-scene1-instruct1,theory-of-mind,"Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it. ","Ella es Marisol. Esta mañana, Marisol puso su libro detrás de la silla, porque no quería que nadie lo encontrara.","Das ist Petra. Heute Morgen hat Petra ihr Buch hinter den Stuhl gelegt, weil sie nicht wollte, dass es jemand findet. ","ToM-scene1-instruct1

Sheet: translation-items-v1"
ToM-scene1-instruct2,theory-of-mind,"But when Madison was outside playing, someone did find it! And hid it under the rug. ","Pero, cuando Marisol estaba afuera jugando, ¡alguien lo encontró! Y lo escondió debajo de la alfombra.","Aber als Petra draußen gespielt hat, hat es jemand gefunden! Und hat es unter dem Teppich versteckt. ","ToM-scene1-instruct2

Sheet: translation-items-v1"
ToM-scene1-instruct3,theory-of-mind,So now it’s reading time and Madison wants her book.,"Ahora, es el momento de leer y Marisol quiere su libro.",Jetzt ist also Lesezeit und Petra möchte ihr Buch.,"ToM-scene1-instruct3

Sheet: translation-items-v1"
ToM-scene1-q1-false_belief,theory-of-mind,Where will Madison look first for her book? Behind the chair or under the rug?,"¿Dónde buscará Marisol su libro primero?, ¿detrás de la silla o debajo de la alfombra?",Wo wird Petra zuerst nach ihrem Buch suchen? Hinter dem Stuhl oder unter dem Teppich?,"ToM-scene1-q1-false_belief
Feel free to offer child names that would make sense to German children if the English ones wouldn't.... 
Sheet: translation-items-v1"
ToM-scene1-q2-reality_check,theory-of-mind,And where is her book really? Is it behind the chair or under the rug?,¿Y dónde está realmente su libro? ¿Está detrás de la silla o debajo de la alfombra?,Und wo ist ihr Buch wirklich? Ist es hinter dem Stuhl oder unter dem Teppich?,"ToM-scene1-q2-reality_check

Sheet: translation-items-v1"
ToM-scene1-q3-emotion_reasoning,theory-of-mind,"Look, Madison found her book! How do you think she feels about finding her book?","¡Mira, Marisol encontró su libro! ¿Cómo crees que se siente?","Schau mal, Petra hat ihr Buch gefunden! Was denkst du, wie sie sich fühlt?","ToM-scene1-q3-emotion_reasoning

Sheet: translation-items-v1"
ToM-scene2-instruct1,theory-of-mind,"This morning when he came to school, Ethan put his book above the coat hooks. Ethan’s book is blue! ","Esta mañana, cuando vino a la escuela, Elián puso su libro sobre la repisa encima de los colgaderos de abrigos. El libro de Elián es azul.","Heute Morgen, als er in die Schule kam, hat Klaus sein Buch über den Garderobenhaken gehängt. Das Buch von Klaus ist blau! ","ToM-scene2-instruct1

Sheet: translation-items-v1"
ToM-scene2-instruct2,theory-of-mind,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks to behind the coats, see? ","Y luego salió a jugar, ¿ves?, aquí está Elián jugando afuera. Y mientras estaba afuera jugando, el libro de Elián se cayó de la repisa, detrás de los abrigos, ¿ves?","Und dann ist er nach draußen gegangen, um zu spielen, siehst du? Hier ist Klaus beim Spielen draußen. Und während er draußen spielte, fiel das Buch von Klaus von den Garderobenhaken auf die Rückseite der Mäntel, siehst du? ","ToM-scene2-instruct2

Sheet: translation-items-v1"
ToM-scene2-instruct3,theory-of-mind,"Then Paul comes in and Paul puts his book up here, above the coat hooks. Paul’s book is also blue! Ethan is still outside playing, so he didn't see what Paul was doing.","Más tarde, entró Pablo y puso su libro aquí arriba, sobre la repisa encima de los colgaderos. ¡El libro de Pablo también es azul! Elián todavía está afuera jugando, así que no vio lo que estaba haciendo Pablo.","Dann kommt Paul herein und Paul legt sein Buch hier oben über die Kleiderhaken. Pauls Buch ist auch blau! Ethan ist noch draußen und spielt, deshalb hat er nicht gesehen, was Paul gemacht hat.","ToM-scene2-instruct3

Sheet: translation-items-v1"
ToM-scene2-q1-false_belief,theory-of-mind,"Now, when Ethan comes in from outside, where will he look first for his book: up on the shelf, or behind the coats?","Entonces, cuando Elián entre, ¿dónde buscará primero su libro: sobre la repisa o detrás de los abrigos?","Wenn Klaus nun von draußen hereinkommt, wo wird er zuerst nach seinem Buch suchen: oben im Regal oder hinter den Mänteln?","ToM-scene2-q1-false_belief

Sheet: translation-items-v1"
ToM-scene2-instruct4,theory-of-mind,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Paul sees Ethan reaching for that book--the book that Paul thinks is his!","Veamos lo que hace. Mira, aquí está Elián cogiendo ese libro de la repisa. Y Pablo ve a Elián tomando el libro--¡el libro que Pablo cree que es suyo!","Lass uns schauen, was er macht. Oh, sieh mal, hier ist Klaus, der nach diesem Buch oben im Regal greift. Und jetzt sieht Paul, wie Klaus nach diesem Buch greift.","ToM-scene2-instruct4

Sheet: translation-items-v1"
shelf,theory-of-mind,up on the shelf,sobre la repisa,up on the shelf,"shelf

Sheet: translation-items-v1"
coats,theory-of-mind,behind the coats,detrás de los abrigos,behind the coats,"coats

Sheet: translation-items-v1"
ToM-scene2-q2-emotion_reasoning,theory-of-mind,How do you think Paul feels about Ethan reaching for that book? ,¿Cómo crees que se siente Pablo... ?,"Schau, Paul sieht, wie Klaus nach dem Buch greift - dem Buch, von dem Paul glaubt, dass es ihm gehört! Was denkst du, wie Paul sich fühlt? ","ToM-scene2-q2-emotion_reasoning

Sheet: translation-items-v1"
ToM-scene2-q3-false_belief,theory-of-mind,Is Ethan being mean and naughty for taking Paul's book?,¿Elián está actuando mal al tomar el libro de Pablo?,"Ist Klaus gemein und frech, weil er Pauls Buch genommen hat?","ToM-scene2-q3-false_belief

Sheet: translation-items-v1"
ToM-scene2-q4-false_belief,theory-of-mind,Should Ethan get in trouble with the teacher for taking Paul's book?,¿Debería Elián meterse en problemas con el maestro por tomar el libro de Pablo?,"Sollte Klaus Ärger mit der Lehrerin bekommen, weil er Pauls Buch genommen hat?","ToM-scene2-q4-false_belief

Sheet: translation-items-v1"
ToM-scene2-q5-reality_check,theory-of-mind,Can you help Paul find his book? Is it on the shelf or behind the coats?,¿Puedes ayudar a Pablo a encontrar su libro? ¿Está sobre la repisa o detrás de los abrigos?,"Kannst du Paul helfen, sein Buch zu finden? Steht es im Regal oder hinter den Mänteln?","ToM-scene2-q5-reality_check

Sheet: translation-items-v1"
ToM-scene2-q6-reality_check,theory-of-mind,Can you help Ethan find his book? Is it on the shelf or behind the coats?,¿Puedes ayudar a Elián a encontrar su libro? ¿Está sobre la repisa o detrás de los abrigos?,"Kannst du Klaus helfen, sein Buch zu finden? Steht es im Regal oder hinter den Mänteln?","ToM-scene2-q6-reality_check

Sheet: translation-items-v1"
ToM-scene3-instruct1,theory-of-mind,"Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Johan, Isabel e Iván están jugando. El juego es el siguiente: Uno de los niños se esconde, pero debe dibujar una pista en la arena que permita a los otros niños encontrarlo.","Johann, Isabelle und Jens spielen ein Spiel. Das Spiel geht so: Ein Kind versteckt sich: Ein Kind versteckt sich, malt aber einen Hinweis in den Sandkasten, damit die anderen Kinder es finden können. ","ToM-scene3-instruct1

Sheet: translation-items-v1"
ToM-scene3-instruct2,theory-of-mind,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide. ","Entonces, Iván va primero. Dibuja esta pista en la arena y se esconde.",Jens geht also als Erster. Er malt diesen Hinweis in den Sandkasten und versteckt sich dann. ,"ToM-scene3-instruct2

Sheet: translation-items-v1"
ToM-scene3-instruct3,theory-of-mind,"Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.",Ahora le toca a Johan dejar una pista y esconderse. Isabel e Iván intentarán utilizar la pista para encontrarle.,"Jetzt ist Johann an der Reihe, einen Hinweis zu hinterlassen und sich zu verstecken. Isabelle und Jens werden dann versuchen, den Hinweis zu nutzen, um ihn zu finden.","ToM-scene3-instruct3

Sheet: translation-items-v1"
ToM-scene3-instruct4,theory-of-mind,"Joshua decides to hide behind the drinking fountain. So he draws a clue like this: here is the bottom metal part of the fountain, and here is lots of water coming out of it. Then Joshua goes to hide behind the fountain.","Johan decide esconderse detrás de la fuente. Así que, dibuja una pista como esta: esta es la parte metálica inferior de la fuente, y aquí sale mucha agua de la fuente. Entonces, Johan va a esconderse detrás de la fuente.","Johann beschließt, sich hinter dem Trinkbrunnen zu verstecken. Also zeichnet er einen Hinweis wie diesen: Hier ist der untere Metallteil des Brunnens, und hier kommt viel Wasser heraus. Dann versteckt sich Johann hinter dem Springbrunnen.","ToM-scene3-instruct4

Sheet: translation-items-v1"
ToM-scene3-q1,theory-of-mind,What did Joshua mean to draw? A fountain or a tree?,¿Qué quería dibujar Johan? ¿Una fuente o un árbol?,Was wollte Johann zeichnen? Einen Springbrunnen oder einen Baum?,"ToM-scene3-q1

Sheet: translation-items-v1"
ToM-scene3-q2-false_belief,theory-of-mind,"When Isabel and Ivan see this clue, where will they look first for Joshua? Behind the fountain or behind the tree?","Cuando Isabel e Iván vean esta pista, ¿dónde buscarán primero a Johan? ¿Detrás de la fuente o detrás del árbol?","Sobald Isabelle und Jens diesen Hinweis sehen, wo werden sie zuerst nach Johann suchen? Hinter dem Springbrunnen oder hinter dem Baum?","ToM-scene3-q2-false_belief

Sheet: translation-items-v1"
ToM-scene3-q2-reality_check,theory-of-mind,Can you help them find where Joshua really is? Behind the fountain or behind the tree?,¿Puedes ayudarles a encontrar dónde está realmente Johan? ¿Detrás de la fuente o detrás del árbol?,"Kannst du ihnen helfen, herauszufinden, wo Johann wirklich ist? Hinter dem Springbrunnen oder hinter dem Baum?","ToM-scene3-q2-reality_check

Sheet: translation-items-v1"
ToM-scene3-q3-emotion_reasoning,theory-of-mind,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","¡Mira, Isabel e Iván encontraron a Joshua y ganaron el juego! ¿Cómo crees que se siente Isabel por ganar el juego?","Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","ToM-scene3-q3-emotion_reasoning

Sheet: translation-items-v1"
ToM-scene4-instruct1,theory-of-mind,"Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. ",Ya se acabaron los juegos y es la hora de volver a casa. Mamá les dice a los niños que busquen todos sus juguetes.,"Jetzt sind die Spiele vorbei, und es ist fast Zeit, nach Hause zu gehen. Die Mutter sagt den Kindern, sie sollen alle ihre Spielsachen finden. ","ToM-scene4-instruct1

Sheet: translation-items-v1"
ToM-scene4-instruct2,theory-of-mind,"Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it. ","Johan trajo su camión de juguete al parque, pero ahora no lo encuentra. Lo busca por todas partes, pero no puede encontrarlo.","Johann hat seinen Spielzeuglaster mit in den Park genommen, aber jetzt kann er ihn nicht mehr finden. Er sucht überall, aber er kann ihn nicht finden. ","ToM-scene4-instruct2

Sheet: translation-items-v1"
ToM-scene4-q1-emotion_reasoning,theory-of-mind,How does Joshua feel about losing his truck?,¿Cómo se siente Joshua al perder su camioneta?,How does Joshua feel about losing his truck?,"ToM-scene4-q1-emotion_reasoning

Sheet: translation-items-v1"
ToM-scene4-instruct3,theory-of-mind,"And that’s because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox. ","Y la razón es que antes, cuando nadie miraba, Isabel cogió el camión de juguete y lo enterró en la arena.","Und das ist so, weil Isabelle am fühen Tag, als niemand hinsah, den Spielzeuglaster genommen und im Sandkasten vergraben hat. ","ToM-scene4-instruct3

Sheet: translation-items-v1"
ToM-scene4-instruct4,theory-of-mind,"So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.","Por eso, Johan mira por todas partes y no encuentra su camión de juguete. Su Mamá se enoja con él porque perdió el camión.","Deshalb sucht Johann überall, aber er kann seinen Spielzeuglaster nicht finden. Die Mutter ist böse auf Johann, weil er seinen Spielzeuglaster verloren hat.","ToM-scene4-instruct4

Sheet: translation-items-v1"
ToM-scene4-q2,theory-of-mind,Is it fair that Mother is mad at Joshua for losing his truck? Yes or no?,"¿Es justo que la mamá se enoje con Johan por haber perdido su camión?, ¿Sí o no?","Ist es fair, dass die Mutter böse auf Johann ist, weil er seinen Spielzeuglaster verloren hat? Ja oder nein?","ToM-scene4-q2

Sheet: translation-items-v1"
ToM-scene4-q3,theory-of-mind,Is Mother mad at Isabel? Yes or no?,¿La mamá de Johan está enojada con Isabel? ¿Sí o no?,Ist die Mutter böse auf Isabelle? Ja oder nein?,"ToM-scene4-q3

Sheet: translation-items-v1"
ToM-scene4-q4-false_belief,theory-of-mind,Is Joshua mad at Isabel? Yes or no?,¿Johan está enojado con Isabel? ¿Sí o no?,Ist Johann böse auf Isabelle? Ja oder nein?,"ToM-scene4-q4-false_belief

Sheet: translation-items-v1"
ToM-scene4-instruct5,theory-of-mind,"When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.","Cuando Isabel se da cuenta de que la mamá está enojada con Johan, va al patio de arena, saca el juguete de la arena y se lo devuelve a Johan.","Als Isabelle sieht, dass die Mutter böse auf Johann ist, geht sie zum Sandkasten, gräbt den Spielzeuglaster aus und gibt ihn Johann zurück.","ToM-scene4-instruct5

Sheet: translation-items-v1"
ToM-scene4-q5,theory-of-mind,Is Mother mad at Joshua now? Yes or no?,¿Está ahora la mamá enojada con Johan? ¿Sí o no?,Ist die Mutter jetzt böse auf Johann? Ja oder nein?,"ToM-scene4-q5

Sheet: translation-items-v1"
ToM-scene4-q6,theory-of-mind,Is Mother mad at Isabel now? Yes or no?,¿Está la mamá enojada ahora con Isabel? ¿Sí o no?,Ist die Mutter jetzt böse auf Isabelle? Ja oder nein?,"ToM-scene4-q6

Sheet: translation-items-v1"
ToM-scene4-q7,theory-of-mind,Is Joshua mad at Isabel now? Yes or no?,¿Está Johan enojado con Isabel? ¿Sí o no?,Ist Johann jetzt böse auf Isabelle? Ja oder nein?,"ToM-scene4-q7

Sheet: translation-items-v1"
